gene,category,n_in_category,category_description,source,note
PAX3,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
PAX6,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
PCSK9,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
PDGFRA,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
PKD1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
PKD2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
PKLR,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
PROC,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
PROS1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
PTCH1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
PTEN,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
RAD51C,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
RAD51D,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
RB1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
RET,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
RPE65,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
RPGR,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
RUNX1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
RYR1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
RYR2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SCN1A,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SCN5A,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SERPINC1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SHH,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SLC12A1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SLC12A3,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SLC26A4,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SLC4A1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SMAD4,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SMARCB1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SMN1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SMN2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SOX10,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SOX9,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
STK11,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
SUFU,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
TP53,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
TSC1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
TSC2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
USH2A,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
VHL,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
WT1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
APC,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
ARID1A,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
ATRX,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
BAP1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
BRCA1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
BRCA2,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
CDH1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
CDKN2A,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
CREBBP,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
DAXX,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
EP300,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
FBXW7,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
KDM6A,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
KMT2C,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
KMT2D,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
LATS1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
LATS2,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
LKB1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
MEN1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
NF1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
NF2,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
PTCH1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
PTEN,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
RB1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
RB1CC1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
SETD2,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
SMAD4,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
SMARCB1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
STAG2,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
STK11,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
SUFU,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
TP53,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
TSC1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
TSC2,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
VHL,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
WT1,tumor_suppressor,36,Canonical tumor suppressor genes,TSGene 2.0; Vogelstein et al. Science 2013; Cancer Gene Census,Core validated TSGs with loss-of-function cancer driver evidence
ACTB,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
ALDOA,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
ATP5F1A,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
ATP5F1B,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
ATP5MC1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
CALM1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
CALM2,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
CALM3,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
COX4I1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
COX5A,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
COX6B1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
CYC1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
EEF1A1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
EEF2,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
ENO1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
GAPDH,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
HSP90AA1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
HSP90AB1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
HSPA5,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
HSPA8,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
LDHA,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
LDHB,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
NDUFA1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
NDUFB1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
PGK1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
PKM,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
PPIA,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
PPIB,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
RPS27A,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
TPI1,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
TUBA1A,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
TUBB,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
UBB,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
UBC,housekeeping,34,Constitutively expressed housekeeping genes (metabolic/structural/translational),"Eisenberg & Levanon, Trends Genet 2013; Warrington et al., Physiol Genomics 2000",Expected to be broadly expressed and relatively essential across cell types
ABL1,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
ALK,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
BCR,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
BRAF,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
CALR,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
CCND1,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
CCNE1,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
CDK4,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
CDK6,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
DNMT3A,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
EGFR,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
ERBB2,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
FGFR1,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
FGFR2,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
FGFR3,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
FLT3,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
HRAS,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
IDH1,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
IDH2,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
JAK2,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
KIT,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
KRAS,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
MDM2,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
MDM4,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
MET,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
MPL,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
MYC,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
MYCL,oncogene,37,Canonical oncogenes (gain-of-function cancer drivers),COSMIC Cancer Gene Census; Vogelstein et al. Science 2013,Core validated oncogenes with somatic gain-of-function mutations in cancer
